city_id,city_name,city_state
1,Alameda,CA
2,Albany,CA
3,American Canyon,CA
4,Antioch,CA
5,Atherton,CA
6,Belmont,CA
7,Belvedere,CA
8,Benicia,CA
9,Berkeley,CA
10,Brentwood,CA
11,Brisbane,CA
12,Burlingame,CA
13,Calistoga,CA
14,Campbell,CA
15,Clayton,CA
16,Cloverdale,CA
17,Colma,CA
18,Concord,CA
19,Corte Madera,CA
20,Cotati,CA
21,Cupertino,CA
22,Daly City,CA
23,Danville,CA
24,Dixon,CA
25,Dublin,CA
26,East Palo Alto,CA
27,El Cerrito,CA
28,Emeryville,CA
29,Fairfax,CA
30,Fairfield,CA
31,Foster City,CA
32,Fremont,CA
33,Gilroy,CA
34,Half Moon Bay,CA
35,Hayward,CA
36,Healdsburg,CA
37,Hercules,CA
38,Hillsborough,CA
39,Lafayette,CA
40,Larkspur,CA
41,Livermore,CA
42,Los Altos,CA
43,Los Altos Hills,CA
44,Los Gatos,CA
45,Martinez,CA
46,Menlo Park,CA
47,Mill Valley,CA
48,Millbrae,CA
49,Milpitas,CA
50,Monte Sereno,CA
51,Moraga,CA
52,Morgan Hill,CA
53,Mountain View,CA
54,Napa,CA
55,Newark,CA
56,Novato,CA
57,Oakland,CA
58,Oakley,CA
59,Orinda,CA
60,Pacifica,CA
61,Palo Alto,CA
62,Petaluma,CA
63,Piedmont,CA
64,Pinole,CA
65,Pittsburg,CA
66,Pleasant Hill,CA
67,Pleasanton,CA
68,Portola Valley,CA
69,Redwood City,CA
70,Richmond,CA
71,Rio Vista,CA
72,Rohnert Park,CA
73,Ross,CA
74,San Anselmo,CA
75,San Bruno,CA
76,San Carlos,CA
77,San Francisco,CA
78,San Jose,CA
79,San Leandro,CA
80,San Mateo,CA
81,San Pablo,CA
82,San Rafael,CA
83,San Ramon,CA
84,Santa Clara,CA
85,Santa Rosa,CA
86,Saratoga,CA
87,Sausalito,CA
88,Sebastopol,CA
89,Sonoma,CA
90,South San Francisco,CA
91,St. Helena,CA
92,Suisun City,CA
93,Sunnyvale,CA
94,Tiburon,CA
95,Union City,CA
96,Vacaville,CA
97,Vallejo,CA
98,Walnut Creek,CA
99,Windsor,CA
100,Woodside,CA
101,Yountville,CA